BNF chapter,BNF class code,BNF class,Inference scope,Peak-to-trough ratio,95% CI lower,95% CI upper,Peak month,Trough month,Seasonal shape,Seasonal strength (STL),Trend strength (STL),Cross-year reproducibility,Distribution,Inference method,HAC bandwidth capped,Class q (BH; all eligible classes),Meaningful seasonality
Skin,13.10.02,Antifungal preparations,Primary inferential,1.095,1.075,1.185,Aug,Dec,Bimodal,0.585,0.883,0.510,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Nutrition and Blood,09.01.03,"Hypoplastic,haemolytic and renal anaemias",Primary inferential,1.091,1.054,1.148,Jul,Apr,Bimodal,0.445,0.554,0.354,Poisson,Poisson (LRT),"",0.00398,No
Skin,13.04.00,Topical corticosteroids,Primary inferential,1.090,1.061,1.134,Mar,Oct,Unimodal,0.660,0.199,0.450,Negbin,Negative binomial (LRT),"",<0.001,No
Endocrine System,06.01.04,Treatment of hypoglycaemia,Primary inferential,1.090,1.075,1.110,Jul,Dec,Unimodal (non-sinusoidal),0.558,0.753,0.579,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
"Obstetrics, Gynaecology and Urinary-Tract Disorders",07.02.02,Vaginal and vulval infections,Primary inferential,1.085,1.045,1.138,Sep,May,Bimodal,0.506,0.252,0.531,Poisson,Poisson + Newey–West HAC (Wald),No,0.00509,No
Skin,13.10.03,Antiviral preparations,Primary inferential,1.084,1.066,1.107,Dec,Aug,Unimodal (non-sinusoidal),0.485,0.873,0.356,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
"Ear, Nose and Oropharynx",12.02.02,Topical nasal decongestants,Primary inferential,1.080,1.054,1.122,Jan,Sep,Unimodal,0.256,0.125,0.262,Negbin,Negative binomial (LRT),"",0.0014,No
Skin,13.05.02,Preparations for psoriasis,Primary inferential,1.078,1.068,1.096,Apr,Oct,Unimodal (non-sinusoidal),0.567,0.000,0.526,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Skin,13.06.02,Oral preparations for acne,Primary inferential,1.077,1.054,1.117,Mar,Oct,Unimodal,0.463,0.921,0.429,Negbin,Negative binomial (LRT),"",<0.001,No
Skin,13.03.00,Topical local anaesthetics and antipruritics,Primary inferential,1.073,1.043,1.125,Apr,Nov,Unimodal,0.371,0.879,0.148,Negbin,Negative binomial (LRT),"",0.0257,No
Endocrine System,06.04.01,Female sex hormones and their modulators,Primary inferential,1.068,1.049,1.100,Jul,Feb,Unimodal,0.334,0.959,0.449,Negbin,Negative binomial (LRT),"",<0.001,No
Eye,11.03.03,Antivirals,Primary inferential,1.066,1.046,1.095,Jan,Oct,Bimodal,0.242,0.842,0.261,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Infections,05.01.11,"Metronidazole, tinidazole and ornidazole",Primary inferential,1.065,1.038,1.105,Sep,Jun,Bimodal,0.629,0.615,0.490,Poisson,Poisson + Newey–West HAC (Wald),No,0.00173,No
Infections,05.02.01,Triazole antifungals,Primary inferential,1.063,1.039,1.112,Aug,Jan,Unimodal,0.295,0.558,0.310,Negbin,Negative binomial (LRT),"",0.0458,No
Infections,05.01.08,Sulfonamides and trimethoprim,Primary inferential,1.062,1.045,1.098,Nov,Jun,Unimodal,0.575,0.343,0.442,Negbin,Negative binomial (LRT),"",<0.001,No
Gastro-Intestinal System,01.07.02,Compound haemorrhoidal preparations with corticosteroid,Primary inferential,1.061,1.049,1.076,Mar,Jul,Bimodal,0.433,0.000,0.396,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Skin,13.02.01,Emollients,Primary inferential,1.061,1.048,1.079,Apr,Oct,Unimodal (non-sinusoidal),0.429,0.316,0.371,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Respiratory System,03.02.00,Corticosteroids (respiratory),Primary inferential,1.061,1.048,1.073,Dec,Aug,Bimodal,0.469,0.527,0.309,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Skin,13.10.01,Antibacterial preparations,Primary inferential,1.059,1.037,1.105,Apr,Dec,Bimodal,0.294,0.354,0.343,Poisson,Poisson + Newey–West HAC (Wald),No,0.0117,No
Gastro-Intestinal System,01.01.02,Compound alginates and proprietary indigestion preparations,Primary inferential,1.058,1.044,1.080,Dec,Jul,Unimodal (non-sinusoidal),0.171,0.112,0.210,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Gastro-Intestinal System,01.07.01,Soothing haemorrhoidal preparations,Primary inferential,1.057,1.044,1.071,Feb,Jun,Bimodal,0.521,0.384,0.392,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
