BNF chapter,BNF class code,BNF class,Inference scope,Peak-to-trough ratio,95% CI lower,95% CI upper,Peak month,Trough month,Seasonal shape,Seasonal strength (STL),Trend strength (STL),Cross-year reproducibility,Distribution,Inference method,HAC bandwidth capped,Class q (BH; all eligible classes),Meaningful seasonality
"Obstetrics, Gynaecology and Urinary-Tract Disorders",07.03.02,Progestogen-only contraceptives,Primary inferential,1.026,1.015,1.045,Feb,Oct,Bimodal,0.382,0.856,0.421,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Cardiovascular System,02.02.04,Potassium sparing diuretics and compounds,Primary inferential,1.026,1.014,1.044,Oct,Feb,Unimodal (non-sinusoidal),0.165,0.982,-0.113,Poisson,Poisson + Newey–West HAC (Wald),No,0.0115,No
Respiratory System,03.03.02,Leukotriene receptor antagonists,Primary inferential,1.025,1.020,1.035,Dec,Sep,Bimodal,0.000,0.775,0.008,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Infections,05.04.01,Antimalarials,Primary inferential,1.025,1.019,1.043,Sep,Mar,Unimodal (non-sinusoidal),0.172,0.904,-0.083,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Respiratory System,03.07.00,Mucolytics,Primary inferential,1.025,1.020,1.035,Dec,Aug,Bimodal,0.000,0.928,-0.152,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Musculoskeletal and Joint Diseases,10.01.01,Non-steroidal anti-inflammatory drugs,Primary inferential,1.025,1.021,1.043,Apr,Dec,Bimodal,0.074,0.131,0.107,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Nutrition and Blood,09.01.01,Iron-deficiency anaemias,Primary inferential,1.024,1.019,1.042,Jul,Feb,Unimodal (non-sinusoidal),0.000,0.701,0.070,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Gastro-Intestinal System,01.04.02,Antimotility drugs,Primary inferential,1.024,1.016,1.041,Jul,Mar,Unimodal (non-sinusoidal),0.171,0.060,-0.094,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Gastro-Intestinal System,01.03.01,H2-receptor antagonists,Primary inferential,1.023,1.016,1.037,Nov,Apr,Unimodal (non-sinusoidal),0.000,0.994,-0.082,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Nutrition and Blood,09.06.04,Vitamin D,Primary inferential,1.023,1.018,1.039,Apr,Aug,Unimodal (non-sinusoidal),0.000,0.552,-0.081,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Central Nervous System,04.11.00,Dementia,Primary inferential,1.023,1.014,1.041,Nov,Mar,Bimodal,0.000,0.814,-0.114,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Endocrine System,06.03.01,Replacement therapy,Primary inferential,1.023,1.016,1.040,Dec,Apr,Unimodal (non-sinusoidal),0.000,0.855,-0.131,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Respiratory System,03.01.02,Antimuscarinic bronchodilators,Primary inferential,1.022,1.015,1.036,Dec,Aug,Bimodal,0.184,0.983,-0.105,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Endocrine System,06.01.01,Insulin,Primary inferential,1.022,1.015,1.042,Dec,Sep,Bimodal,0.197,0.538,-0.056,Poisson,Poisson + Newey–West HAC (Wald),No,0.0234,No
Central Nervous System,04.06.00,Drugs used in nausea and vertigo,Primary inferential,1.021,1.016,1.035,Oct,May,Unimodal (non-sinusoidal),0.134,0.045,-0.050,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Musculoskeletal and Joint Diseases,10.01.04,Gout and cytotoxic induced hyperuicaemia,Primary inferential,1.020,1.013,1.040,Jul,Mar,Unimodal (non-sinusoidal),0.000,0.587,-0.138,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Central Nervous System,04.10.03,Opioid dependence,Primary inferential,1.020,1.013,1.036,May,Sep,Bimodal,0.122,0.686,-0.039,Poisson,Poisson + Newey–West HAC (Wald),No,0.00173,No
Central Nervous System,04.09.01,Dopaminergic drugs used in parkinsonism,Primary inferential,1.019,1.011,1.034,Nov,Mar,Bimodal,0.000,0.000,-0.169,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Cardiovascular System,02.06.02,Calcium-channel blockers,Primary inferential,1.019,1.015,1.030,Apr,Aug,Unimodal (non-sinusoidal),0.000,0.746,-0.131,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Central Nervous System,04.02.02,Antipsychotic depot injections,Primary inferential,1.018,1.013,1.037,Jan,Aug,Unimodal,0.170,0.662,0.103,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Central Nervous System,04.10.01,Alcohol dependence,Primary inferential,1.017,1.011,1.038,Dec,Mar,Bimodal,0.000,0.712,-0.103,Poisson,Poisson + Newey–West HAC (Wald),No,0.0212,No
Endocrine System,06.01.06,Diabetic diagnostic and monitoring agents,Primary inferential,1.017,1.014,1.032,Jul,Dec,Unimodal (non-sinusoidal),0.115,0.876,-0.068,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Nutrition and Blood,09.06.07,Multivitamin preparations,Primary inferential,1.016,1.011,1.030,Dec,Jul,Unimodal (non-sinusoidal),0.000,0.702,-0.094,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00214,No
