BNF chapter,BNF class code,BNF class,BNF drug code,Drug (chemical substance),Inference scope,Peak-to-trough ratio,95% CI lower,95% CI upper,Peak month,Trough month,Seasonal shape,Seasonal strength (STL),Trend strength (STL),Distribution,Inference method,Parent class significant,Drug q (BH; all eligible drugs),Meaningful seasonality
Eye,11.08.02,Ocular diagnostic & peri-operative prepn & photodynamic tt,110802070,Ketorolac trometamol,Secondary exploratory,1.106,1.071,1.171,Oct,Mar,Unimodal,0.233,0.273,Negbin,Negative binomial (LRT),No,0.00643,No
Respiratory System,03.01.02,Antimuscarinic bronchodilators,0301020I0,Ipratropium bromide,Secondary exploratory,1.104,1.078,1.129,Dec,Aug,Bimodal,0.671,0.985,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Infections,05.01.07,Some other antibacterials,0501070AE,Fosfomycin trometamol,Secondary exploratory,1.101,1.069,1.136,Sep,May,Unimodal (non-sinusoidal),0.533,0.971,Negbin,Negative binomial (LRT),Yes,<0.001,No
Infections,05.01.01,Penicillins,0501015P0,Pivmecillinam hydrochloride,Secondary exploratory,1.099,1.068,1.132,Sep,May,Unimodal (non-sinusoidal),0.402,0.823,Negbin,Negative binomial (LRT),Yes,<0.001,No
Musculoskeletal and Joint Diseases,10.01.02,Corticosteroids,1001022K0,Methylprednisolone acetate,Secondary exploratory,1.098,1.066,1.185,Jul,Jan,Unimodal (non-sinusoidal),0.612,0.944,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00188,No
Infections,05.01.02,Cephalosporins and other beta-lactams,0501021L0,Cefalexin,Secondary exploratory,1.098,1.070,1.134,Dec,May,Unimodal,0.368,0.276,Negbin,Negative binomial (LRT),Yes,<0.001,No
Skin,13.10.02,Antifungal preparations,1310020N0,Miconazole nitrate,Secondary exploratory,1.098,1.079,1.290,Aug,Dec,Unimodal (non-sinusoidal),0.495,0.901,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00314,No
Immunological Products and Vaccines,14.04.00,Vaccines and antisera,1404000G0,Hepatitis B,Secondary exploratory,1.096,1.058,1.169,Jan,Oct,Bimodal,0.509,0.628,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0196,No
Skin,13.04.00,Topical corticosteroids,1304000X0,Hydrocortisone acetate,Secondary exploratory,1.096,1.064,1.158,Mar,Nov,Bimodal,0.626,0.261,Negbin,Negative binomial (LRT),Yes,0.00748,No
Infections,05.01.07,Some other antibacterials,0501070I0,Colistimethate sodium,Secondary exploratory,1.094,1.051,1.152,Dec,Mar,Bimodal,0.214,0.465,Negbin,Negative binomial (LRT),Yes,0.0439,No
