BNF chapter,BNF class code,BNF class,BNF drug code,Drug (chemical substance),Inference scope,Peak-to-trough ratio,95% CI lower,95% CI upper,Peak month,Trough month,Seasonal shape,Seasonal strength (STL),Trend strength (STL),Distribution,Inference method,Parent class significant,Drug q (BH; all eligible drugs),Meaningful seasonality
Central Nervous System,04.02.01,Antipsychotic drugs,040201030,Risperidone,Secondary exploratory,1.016,1.010,1.033,Nov,Mar,Bimodal,0.000,0.000,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0025,No
Central Nervous System,04.03.01,Tricyclic and related antidepressant drugs,0403010B0,Amitriptyline hydrochloride,Secondary exploratory,1.015,1.012,1.034,Nov,Jul,Bimodal,0.000,0.162,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Endocrine System,06.01.02,Antidiabetic drugs,0601023AE,Linagliptin,Secondary exploratory,1.015,1.008,1.031,Nov,Mar,Unimodal (non-sinusoidal),0.000,0.501,Poisson,Poisson + Newey–West HAC (Wald),No,0.0218,No
"Obstetrics, Gynaecology and Urinary-Tract Disorders",07.04.01,Drugs for urinary retention,0704010U0,Tamsulosin hydrochloride,Secondary exploratory,1.015,1.012,1.027,Nov,Aug,Bimodal,0.000,0.803,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Cardiovascular System,02.03.02,Drugs for arrhythmias,0203020I0,Flecainide acetate,Secondary exploratory,1.015,1.009,1.032,Dec,Mar,Bimodal,0.000,0.065,Poisson,Poisson + Newey–West HAC (Wald),No,0.00249,No
Malignant Disease and Immunosuppression,08.03.04,Hormone antagonists,0803041B0,Anastrozole,Secondary exploratory,1.015,1.010,1.030,Nov,Mar,Bimodal,0.086,0.698,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0099,No
Musculoskeletal and Joint Diseases,10.01.04,Gout and cytotoxic induced hyperuicaemia,1001040C0,Allopurinol,Secondary exploratory,1.015,1.009,1.031,Nov,Mar,Unimodal (non-sinusoidal),0.000,0.609,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Cardiovascular System,02.05.04,Alpha-adrenoceptor blocking drugs,0205040D0,Doxazosin mesilate,Secondary exploratory,1.015,1.010,1.025,Apr,Aug,Bimodal,0.000,0.579,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00225,No
Central Nervous System,04.02.03,Drugs used for mania and hypomania,0402030K0,Lithium carbonate,Secondary exploratory,1.014,1.010,1.035,Dec,Aug,Bimodal,0.133,0.475,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Cardiovascular System,02.06.03,Other antianginal drugs,0206030N0,Nicorandil,Secondary exploratory,1.014,1.009,1.029,Nov,Feb,Bimodal,0.000,0.931,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00338,No
Central Nervous System,04.03.01,Tricyclic and related antidepressant drugs,0403010X0,Trazodone hydrochloride,Secondary exploratory,1.014,1.011,1.029,Dec,Aug,Unimodal (non-sinusoidal),0.103,0.633,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Central Nervous System,04.03.01,Tricyclic and related antidepressant drugs,0403010J0,Dosulepin hydrochloride,Secondary exploratory,1.014,1.009,1.030,Dec,Aug,Bimodal,0.000,0.968,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0207,No
Central Nervous System,04.02.01,Antipsychotic drugs,0402010A0,Amisulpride,Secondary exploratory,1.014,1.008,1.027,Nov,Jul,Bimodal,0.000,0.462,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0318,No
Musculoskeletal and Joint Diseases,10.02.02,Skeletal muscle relaxants,1002020C0,Baclofen,Secondary exploratory,1.013,1.009,1.030,Dec,Sep,Bimodal,0.000,0.575,Poisson,Poisson + Newey–West HAC (Wald),No,0.00379,No
Cardiovascular System,02.06.02,Calcium-channel blockers,0206020F0,Felodipine,Secondary exploratory,1.013,1.010,1.024,Apr,Aug,Bimodal,0.000,0.171,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Gastro-Intestinal System,01.03.05,Proton pump inhibitors,0103050R0,Pantoprazole,Secondary exploratory,1.013,1.010,1.029,Nov,Jul,Unimodal (non-sinusoidal),0.000,0.650,Poisson,Poisson + Newey–West HAC (Wald),No,0.0179,No
"Obstetrics, Gynaecology and Urinary-Tract Disorders",07.04.02,Drugs for urinary frequency enuresis and incontinence,0704020AE,Mirabegron,Secondary exploratory,1.013,1.008,1.028,Nov,Aug,Bimodal,0.000,0.969,Poisson,Poisson + Newey–West HAC (Wald),No,0.0295,No
"Obstetrics, Gynaecology and Urinary-Tract Disorders",07.04.02,Drugs for urinary frequency enuresis and incontinence,0704020AB,Solifenacin,Secondary exploratory,1.013,1.009,1.029,Nov,Aug,Bimodal,0.000,0.873,Poisson,Poisson + Newey–West HAC (Wald),No,<0.001,No
Nutrition and Blood,09.06.04,Vitamin D,0906040B0,Alfacalcidol,Secondary exploratory,1.013,1.007,1.026,Nov,Mar,Bimodal,0.000,0.404,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0145,No
Central Nervous System,04.08.01,Control of epilepsy,0408010W0,Sodium valproate,Secondary exploratory,1.013,1.009,1.031,Dec,Mar,Bimodal,0.000,0.815,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00111,No
Central Nervous System,04.07.01,Non-opioid analgesics and compound preparations,0407010N0,Co-dydramol (Dihydrocodeine/paracetamol),Secondary exploratory,1.013,1.010,1.033,Oct,Jul,Bimodal,0.000,0.926,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00659,No
Endocrine System,06.01.02,Antidiabetic drugs,0601023AL,Dapagliflozin/metformin,Secondary exploratory,1.013,1.009,1.024,Dec,Apr,Unimodal,0.000,0.983,Poisson,Poisson + Newey–West HAC (Wald),No,0.00838,No
Respiratory System,03.02.00,Corticosteroids (respiratory),0302000AA,BeclometDiprop/Formoterol/Glycopyrronium (Corticosteroids),Secondary exploratory,1.013,1.007,1.029,Dec,Sep,Bimodal,0.072,0.990,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.03,No
Cardiovascular System,02.02.03,Potassium-sparing diuretics and aldosterone antagonists,0202030X0,Eplerenone,Secondary exploratory,1.013,1.007,1.028,Nov,Mar,Bimodal,0.000,0.981,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00523,No
Central Nervous System,04.08.01,Control of epilepsy,0408010Q0,Phenytoin sodium,Secondary exploratory,1.012,1.009,1.030,Nov,Mar,Bimodal,0.000,0.908,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00308,No
Cardiovascular System,02.09.00,Antiplatelet drugs,0209000Y0,Prasugrel,Secondary exploratory,1.012,1.010,1.032,Dec,Mar,Bimodal,0.146,0.978,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Cardiovascular System,02.01.01,Cardiac glycosides,0201010F0,Digoxin,Secondary exploratory,1.012,1.008,1.030,Nov,Mar,Bimodal,0.000,0.244,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00133,No
Gastro-Intestinal System,01.03.05,Proton pump inhibitors,0103050E0,Esomeprazole,Secondary exploratory,1.012,1.008,1.025,Dec,Aug,Bimodal,0.000,0.439,Poisson,Poisson + Newey–West HAC (Wald),No,0.00808,No
Central Nervous System,04.06.00,Drugs used in nausea and vertigo,0406000B0,Betahistine hydrochloride,Secondary exploratory,1.012,1.008,1.030,Oct,Feb,Unimodal (non-sinusoidal),0.000,0.000,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0156,No
Central Nervous System,04.08.01,Control of epilepsy,0408010F0,Clonazepam,Secondary exploratory,1.012,1.008,1.028,Dec,Aug,Bimodal,0.000,0.000,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0208,No
Cardiovascular System,02.06.02,Calcium-channel blockers,0206020L0,Lercanidipine hydrochloride,Secondary exploratory,1.012,1.007,1.025,May,Sep,Bimodal,0.000,0.955,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0228,No
Cardiovascular System,02.09.00,Antiplatelet drugs,0209000C0,Clopidogrel,Secondary exploratory,1.012,1.008,1.027,Nov,Mar,Bimodal,0.000,0.465,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Central Nervous System,04.03.03,Selective serotonin re-uptake inhibitors,0403030X0,Escitalopram,Secondary exploratory,1.011,1.009,1.025,Dec,Aug,Bimodal,0.160,0.941,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Cardiovascular System,02.04.00,Beta-adrenoceptor blocking drugs,0204000AB,Nebivolol,Secondary exploratory,1.011,1.009,1.031,Nov,Aug,Bimodal,0.166,0.736,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Cardiovascular System,02.05.05,Renin-angiotensin system drugs,0205051R0,Ramipril,Secondary exploratory,1.010,1.007,1.021,May,Aug,Bimodal,0.000,0.668,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00962,No
Central Nervous System,04.03.03,Selective serotonin re-uptake inhibitors,0403030Q0,Sertraline hydrochloride,Secondary exploratory,1.010,1.008,1.024,Dec,Aug,Unimodal (non-sinusoidal),0.000,0.742,Poisson,Poisson + Newey–West HAC (Wald),Yes,<0.001,No
Central Nervous System,04.03.03,Selective serotonin re-uptake inhibitors,0403030P0,Paroxetine hydrochloride,Secondary exploratory,1.010,1.007,1.025,Nov,Aug,Bimodal,0.000,0.285,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0151,No
Cardiovascular System,02.05.05,Renin-angiotensin system drugs,0205052C0,Candesartan cilexetil,Secondary exploratory,1.010,1.007,1.022,Dec,Aug,Bimodal,0.000,0.779,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00948,No
Central Nervous System,04.03.04,Other antidepressant drugs,0403040Y0,Duloxetine hydrochloride,Secondary exploratory,1.010,1.007,1.024,Nov,Aug,Bimodal,0.000,0.954,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00191,No
Endocrine System,06.04.01,Female sex hormones and their modulators,0604011Y0,Tibolone,Secondary exploratory,1.010,1.007,1.029,Jun,Feb,Unimodal,0.032,0.854,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0478,No
Cardiovascular System,02.05.05,Renin-angiotensin system drugs,0205052I0,Irbesartan,Secondary exploratory,1.010,1.006,1.024,Nov,Aug,Bimodal,0.000,0.531,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0175,No
Cardiovascular System,02.04.00,Beta-adrenoceptor blocking drugs,0204000H0,Bisoprolol fumarate,Secondary exploratory,1.010,1.007,1.024,Nov,Aug,Bimodal,0.000,0.585,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00123,No
Malignant Disease and Immunosuppression,08.03.04,Hormone antagonists,0803041S0,Tamoxifen citrate,Secondary exploratory,1.010,1.006,1.025,Dec,Mar,Bimodal,0.000,0.901,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0292,No
Nutrition and Blood,09.06.02,Vitamin B group,0906026M0,Thiamine hydrochloride,Secondary exploratory,1.010,1.006,1.028,Nov,Apr,Unimodal (non-sinusoidal),0.000,0.757,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0357,No
Respiratory System,03.01.02,Antimuscarinic bronchodilators,0301020T0,Umeclidinium bromide,Secondary exploratory,1.009,1.006,1.023,Nov,Aug,Bimodal,0.000,0.977,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0259,No
Cardiovascular System,02.09.00,Antiplatelet drugs,0209000A0,Aspirin,Secondary exploratory,1.009,1.007,1.023,Nov,Jul,Bimodal,0.000,0.267,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00348,No
Gastro-Intestinal System,01.03.05,Proton pump inhibitors,0103050L0,Lansoprazole,Secondary exploratory,1.009,1.007,1.025,Dec,Aug,Bimodal,0.000,0.687,Poisson,Poisson + Newey–West HAC (Wald),No,0.0095,No
Central Nervous System,04.03.03,Selective serotonin re-uptake inhibitors,0403030E0,Fluoxetine hydrochloride,Secondary exploratory,1.009,1.006,1.027,Dec,Aug,Bimodal,0.000,0.000,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0429,No
Respiratory System,03.01.04,Compound bronchodilator preparations,0301040W0,Umeclidinium bromide/vilanterol,Secondary exploratory,1.008,1.007,1.025,May,Aug,Bimodal,0.000,0.947,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0112,No
Central Nervous System,04.03.03,Selective serotonin re-uptake inhibitors,0403030D0,Citalopram hydrobromide,Secondary exploratory,1.008,1.006,1.025,Dec,Jul,Unimodal (non-sinusoidal),0.000,0.691,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.00656,No
Cardiovascular System,02.12.00,Lipid-regulating drugs,0212000B0,Atorvastatin,Secondary exploratory,1.007,1.005,1.022,Dec,Aug,Bimodal,0.000,0.936,Poisson,Poisson + Newey–West HAC (Wald),Yes,0.0146,No
