bnf_class_code,peak_trough_ratio,ptr_lci,ptr_uci,peak_month,trough_month,amp_annual,amp_semiannual,n_peaks,seasonal_reproducibility,stl_seasonal_strength,stl_trend_strength,aic_1h,aic_2h,modality,bnf_class_name,p_value,distribution,route,disp_ratio,disp_p,lb_p,nw_lag,hac_capped,theta,b_sin12,b_cos12,b_sin6,b_cos6,converged,note,class_q_bh,class_significant,inference_scope,multiplicity_family
060302,1.32210674892433,1.26062336985775,1.38650559711822,Dec,Aug,0.114228540269953,0.0492755088210919,1,0.838718268189474,0.841412373800651,0.581177606144856,90154.1536129296,55462.7856417153,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",Glucocorticoid therapy,5.45428746413827e-43,poisson,HAC-Wald,1374.36363993169,0.000225738847967415,0.00827526064032091,1.98219617912565,FALSE,,0.0372035475482827,0.108000256768339,-0.0207296157974361,0.044703006593161,TRUE,,7.99962161406946e-42,TRUE,primary_inferential,all_eligible_classes
130603,1.32104818223832,1.2897216178332,1.37739515028779,Apr,Dec,0.141438286035543,0.0429953340948928,1,0.880302480693239,0.871713903082918,0.958162044838392,2055.48490232076,1571.85015823691,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",Topical preparation for rosacea,4.47054513380901e-120,poisson,HAC-Wald,25.3903877798559,2.03702530368338e-09,1.24590689132287e-06,11.3080217121697,FALSE,,0.100059954308758,-0.0999639650094046,-0.0428815659297114,-0.0031257090951112,TRUE,,2.45879982359496e-118,TRUE,primary_inferential,all_eligible_classes
130801,1.28027417474989,1.23034332965021,1.35760453086859,Aug,Jan,0.119650030424565,0.0212537089676576,1,0.800407092064241,0.821296587493638,0.649665869646488,7901.11170511128,7544.64446224498,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",Sunscreening preparations,3.15734584893217e-32,poisson,HAC-Wald,172.194452986055,6.29037887495926e-08,4.89862119756879e-08,3.46239177990799,FALSE,,-0.0674829983595981,-0.0988037181132257,-0.00740399345565543,-0.0199223750037615,TRUE,,3.30769565126227e-31,TRUE,primary_inferential,all_eligible_classes
030401,1.27267469676559,1.24970204812114,1.29597518971337,Jun,Jan,0.11675876919854,0.0326841105750631,1,0.904285647192149,0.870210565648606,0.578573554393803,107169.31301631,75303.9911025177,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",Antihistamines,8.86548680425132e-229,poisson,HAC-Wald,1884.29721613538,0.00206106123381779,0.000926955008103691,5.1244523460949,FALSE,,-0.00170111702038837,-0.116746376327665,-0.00752314446095125,0.0318064990450475,TRUE,,1.95040709693529e-226,TRUE,primary_inferential,all_eligible_classes
131106,1.2456382317103,1.18981521442702,1.31845337326011,Aug,Jan,0.107716055275308,0.0189155377988378,1,0.591130832993464,0.662593359334059,0.936922640048208,478.692924194695,480.371492487248,unimodal (1 harmonic preferred),Oxidisers and dyes,7.06498055815025e-10,negbin,NB-LRT,2.17489815027522,0.0175798549586675,0.216531576955525,,,646.340249193271,-0.0842340000429885,-0.0671370374743399,0.0138609477415267,-0.0128713518297779,TRUE,,2.67982021171216e-09,TRUE,primary_inferential,all_eligible_classes
110803,1.23321575393414,1.12313923021272,1.77409137695781,Jun,Feb,0.0467406749739889,0.0811696662183939,2,0.0900070590102026,0.0203575341571509,0.688126735203369,1202.78070775216,1144.36453648851,"bimodal (2 harmonics, 2 peaks)",Other eye preparations,0.000640734573632258,poisson,HAC-Wald,15.9417902768285,0.00196005461376398,0.0176530728318245,12,TRUE,,-0.0405844907386249,-0.0231859830179905,-0.0482290361653929,0.065287631175918,TRUE,,0.00149959155530954,TRUE,primary_inferential,all_eligible_classes
050501,1.22270870264549,1.15731063566431,1.30563696264679,Oct,Jun,0.0761964530854059,0.0399016665734436,1,0.771502521503015,0.785325370754688,0.249605855595211,2313.64897641429,2073.19195152819,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",Drugs for threadworms,1.96782093994999e-16,poisson,HAC-Wald,38.0216476601901,3.16527608814126e-07,6.5240257640653e-10,4.98671849393522,FALSE,,-0.0372275108956373,0.0664831700155135,-0.0194296534921655,-0.0348515646781123,TRUE,,1.13926475470789e-15,TRUE,primary_inferential,all_eligible_classes
050205,1.21036701946009,1.17381232157329,1.25257180775294,Aug,Jan,0.0932054340454948,0.0127535921828231,1,0.792504617811071,0.855577264111386,0.862443453722908,839.856171610765,841.074354087352,unimodal (1 harmonic preferred),Other antifungals,3.21646305646271e-14,negbin,NB-LRT,56.7306923572251,3.4555155395151e-08,0.0966336331955022,,,759.584157127096,-0.0565664842061766,-0.0740775661058154,0.00271826400046156,-0.0124605439042427,TRUE,,1.64563226144604e-13,TRUE,primary_inferential,all_eligible_classes
120201,1.19193765484143,1.16634705952221,1.22658810375015,May,Oct,0.0808773329711556,0.0311796227789176,1,0.820075330185737,0.798205067487765,0.236164217749713,52191.6616494403,37698.7269825808,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",Drugs used in nasal allergy,2.69091836400528e-53,poisson,HAC-Wald,928.75379954371,0.000777208409367318,0.00351439454366076,1.66255020915105,FALSE,,0.0341788768957539,-0.0733003912859411,-0.0120408545525127,0.0287608535735786,TRUE,,4.93335033400967e-52,TRUE,primary_inferential,all_eligible_classes
131400,1.17798114166829,1.14301595529486,1.22033858692556,Jul,Dec,0.0749520691513235,0.0258447351272816,1,0.726414852998371,0.770124685213382,0.726076605812411,684.179934452986,677.83783001524,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",Topical circulatory preparations,9.68394017902633e-12,negbin,NB-LRT,10.378761352386,2.32080194363216e-06,0.170986696688017,,,828.40236820924,-0.0359454268147799,-0.0657703501675952,0.0258004221683892,-0.00151279533719246,TRUE,,4.53290816890594e-11,TRUE,primary_inferential,all_eligible_classes
