bnf_class_code,bnf_class_name,inference_scope,multiplicity_family,peak_trough_ratio,ptr_lci,ptr_uci,peak_month,trough_month,modality,n_peaks,seasonal_reproducibility,stl_seasonal_strength,stl_trend_strength,distribution,route,hac_capped,class_q_bh,class_significant,meaningful
050112,Quinolones,primary_inferential,all_eligible_classes,1.116,1.093,1.146,Dec,Jun,unimodal (1 harmonic preferred),1,0.628,0.561,0.945,negbin,NB-LRT,,4.12469936146296e-10,TRUE,FALSE
050113,Urinary-tract infections,primary_inferential,all_eligible_classes,1.114,1.085,1.15,Sep,May,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.549,0.566,0.358,negbin,NB-LRT,,2.05997052646044e-07,TRUE,FALSE
100102,Corticosteroids,primary_inferential,all_eligible_classes,1.108,1.083,1.167,May,Jan,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.723,0.701,0.868,poisson,HAC-Wald,FALSE,1.34640025024188e-11,TRUE,FALSE
120103,Removal of ear wax and other substances,primary_inferential,all_eligible_classes,1.107,1.073,1.148,Mar,Nov,"bimodal (2 harmonics, 2 peaks)",2,0.536,0.652,0.924,poisson,HAC-Wald,FALSE,1.47066738370915e-17,TRUE,FALSE
090201,Oral preparation for fluid and electrolyte imbalance,primary_inferential,all_eligible_classes,1.105,1.079,1.142,Jul,Dec,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.475,0.626,0.863,negbin,NB-LRT,,8.65885960246975e-07,TRUE,FALSE
130503,Drugs affecting the immune response,primary_inferential,all_eligible_classes,1.104,1.085,1.137,Apr,Sep,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.575,0.695,0.98,poisson,HAC-Wald,FALSE,3.37494744913336e-14,TRUE,FALSE
090202,Parent prepn for fluid and electrolyte imb,primary_inferential,all_eligible_classes,1.103,1.083,1.135,Dec,Aug,"bimodal (2 harmonics, 2 peaks)",2,0.566,0.681,0.454,negbin,NB-LRT,,6.15845376198558e-09,TRUE,FALSE
050102,Cephalosporins and other beta-lactams,primary_inferential,all_eligible_classes,1.097,1.069,1.132,Dec,May,unimodal (1 harmonic preferred),1,0.427,0.366,0.299,negbin,NB-LRT,,4.30504844194276e-06,TRUE,FALSE
131002,Antifungal preparations,primary_inferential,all_eligible_classes,1.095,1.075,1.185,Aug,Dec,"bimodal (2 harmonics, 2 peaks)",2,0.51,0.585,0.883,poisson,HAC-Wald,FALSE,0.000226648496068398,TRUE,FALSE
090103,"Hypoplastic,haemolytic and renal anaemias",primary_inferential,all_eligible_classes,1.091,1.054,1.148,Jul,Apr,"bimodal (2 harmonics, 2 peaks)",2,0.354,0.445,0.554,poisson,Poisson-LRT,,0.00398497352474364,TRUE,FALSE
130400,Topical corticosteroids,primary_inferential,all_eligible_classes,1.09,1.061,1.134,Mar,Oct,unimodal (1 harmonic preferred),1,0.45,0.66,0.199,negbin,NB-LRT,,0.000772676262857242,TRUE,FALSE
060104,Treatment of hypoglycaemia,primary_inferential,all_eligible_classes,1.09,1.075,1.11,Jul,Dec,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.579,0.558,0.753,poisson,HAC-Wald,FALSE,7.73581751734925e-32,TRUE,FALSE
070202,Vaginal and vulval infections,primary_inferential,all_eligible_classes,1.085,1.045,1.138,Sep,May,"bimodal (2 harmonics, 2 peaks)",2,0.531,0.506,0.252,poisson,HAC-Wald,FALSE,0.00509117132759724,TRUE,FALSE
131003,Antiviral preparations,primary_inferential,all_eligible_classes,1.084,1.066,1.107,Dec,Aug,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.356,0.485,0.873,poisson,HAC-Wald,FALSE,7.21065830915685e-21,TRUE,FALSE
120202,Topical nasal decongestants,primary_inferential,all_eligible_classes,1.08,1.054,1.122,Jan,Sep,unimodal (1 harmonic preferred),1,0.262,0.256,0.125,negbin,NB-LRT,,0.00140116339488567,TRUE,FALSE
130502,Preparations for psoriasis,primary_inferential,all_eligible_classes,1.078,1.068,1.096,Apr,Oct,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",1,0.526,0.567,0,poisson,HAC-Wald,FALSE,2.00974064079059e-55,TRUE,FALSE
130602,Oral preparations for acne,primary_inferential,all_eligible_classes,1.077,1.054,1.117,Mar,Oct,unimodal (1 harmonic preferred),1,0.429,0.463,0.921,negbin,NB-LRT,,0.000920222435304135,TRUE,FALSE
130300,Topical local anaesthetics and antipruritics,primary_inferential,all_eligible_classes,1.073,1.043,1.125,Apr,Nov,unimodal (1 harmonic preferred),1,0.148,0.371,0.879,negbin,NB-LRT,,0.0257285967380165,TRUE,FALSE
060401,Female sex hormones and their modulators,primary_inferential,all_eligible_classes,1.068,1.049,1.1,Jul,Feb,unimodal (1 harmonic preferred),1,0.449,0.334,0.959,negbin,NB-LRT,,0.000113754559464022,TRUE,FALSE
