bnf_drug_code,bnf_drug_name,bnf_class_name,inference_scope,multiplicity_family,peak_trough_ratio,ptr_lci,ptr_uci,peak_month,trough_month,modality,seasonal_reproducibility,stl_seasonal_strength,stl_trend_strength,distribution,route,drug_all_q_bh,drug_significant,parent_class_significant,class_q_bh,conditional_drug_q_legacy,conditional_drug_significant_legacy,meaningful
1108010D0,Carmellose sodium,"Tear deficiency, eye lubricant and astringent",secondary_exploratory,all_eligible_drugs,1.034,1.023,1.061,Jul,Feb,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.03,0.27,0.896,poisson,HAC-Wald,3.5926891040689e-08,TRUE,FALSE,0.402879512529337,,FALSE,FALSE
0803042W0,Triptorelin,Hormone antagonists,secondary_exploratory,all_eligible_drugs,1.034,1.02,1.058,Feb,Oct,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.241,0.422,0.868,poisson,HAC-Wald,8.99733355043271e-05,TRUE,TRUE,0.00341395403142288,6.51484237909309e-05,TRUE,FALSE
100302010,Ketoprofen,"Rubefacients, topical NSAIDs, capsaicin and poultices",secondary_exploratory,all_eligible_drugs,1.034,1.026,1.056,Apr,Jan,"bimodal (2 harmonics, 2 peaks)",0.049,0.053,0,poisson,HAC-Wald,2.14183104504469e-05,TRUE,TRUE,1.55919199584476e-59,1.53411079429341e-05,TRUE,FALSE
1203010K0,Choline salicylate,Drugs for oral ulceration and inflammation,secondary_exploratory,all_eligible_drugs,1.034,1.027,1.08,Aug,Jan,unimodal (1 harmonic preferred),0.129,0.065,0.289,poisson,HAC-Wald,0.0136749718691468,TRUE,TRUE,2.42048686581937e-22,0.0103429107162257,TRUE,FALSE
0601011A0,Insulin aspart,Insulin,secondary_exploratory,all_eligible_drugs,1.033,1.019,1.05,Jun,Sep,"bimodal (2 harmonics, 2 peaks)",0.029,0.22,0.89,poisson,HAC-Wald,0.00152792085264017,TRUE,TRUE,0.0233801524823976,0.00111233520559566,TRUE,FALSE
0301011E0,Formoterol fumarate,Adrenoceptor agonists,secondary_exploratory,all_eligible_drugs,1.033,1.019,1.057,Dec,Aug,"bimodal (2 harmonics, 2 peaks)",-0.019,0,0.983,poisson,HAC-Wald,0.00160330809293173,TRUE,TRUE,2.96694404817216e-20,0.00116683537362484,TRUE,FALSE
0401010AD,Melatonin,Hypnotics,secondary_exploratory,all_eligible_drugs,1.033,1.027,1.045,Jan,Aug,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.351,0.298,0.978,poisson,HAC-Wald,3.68534278045946e-23,TRUE,TRUE,8.49270687446684e-13,2.53495446657402e-23,TRUE,FALSE
0601023Z0,Metformin hydrochloride/vildagliptin,Antidiabetic drugs,secondary_exploratory,all_eligible_drugs,1.033,1.017,1.063,Dec,Apr,unimodal (1 harmonic preferred),-0.085,0.182,0.961,poisson,HAC-Wald,0.000839427896985927,TRUE,FALSE,0.870182495394554,,FALSE,FALSE
1002020J0,Dantrolene sodium,Skeletal muscle relaxants,secondary_exploratory,all_eligible_drugs,1.032,1.022,1.046,Dec,Mar,"bimodal (2 harmonics, 2 peaks)",-0.01,0.05,0.393,poisson,HAC-Wald,2.6086671181129e-11,TRUE,FALSE,0.108400217093321,,FALSE,FALSE
0601011L0,Insulin Lispro,Insulin,secondary_exploratory,all_eligible_drugs,1.032,1.023,1.049,Dec,Sep,"bimodal (2 harmonics, 2 peaks)",0.051,0,0.473,poisson,HAC-Wald,4.36342341539606e-06,TRUE,TRUE,0.0233801524823976,3.14299162177018e-06,TRUE,FALSE
0503021A0,Valaciclovir,Herpesvirus infections,secondary_exploratory,all_eligible_drugs,1.032,1.017,1.059,Dec,Mar,"bimodal (2 harmonics, 2 peaks)",-0.147,0.022,0.913,poisson,HAC-Wald,0.0259247707073036,TRUE,FALSE,0.0771200863996355,,FALSE,FALSE
0207020Y0,Midodrine hydrochloride,Vasoconstrictor sympathomimetics,secondary_exploratory,all_eligible_drugs,1.032,1.019,1.053,Nov,Apr,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",-0.1,0.16,0.988,poisson,HAC-Wald,4.10691454516186e-05,TRUE,TRUE,2.31390842922359e-05,2.98059112287887e-05,TRUE,FALSE
0205040S0,Prazosin hydrochloride,Alpha-adrenoceptor blocking drugs,secondary_exploratory,all_eligible_drugs,1.031,1.019,1.061,Jan,Aug,unimodal (1 harmonic preferred),0.088,0.308,0.982,poisson,HAC-Wald,0.0336230435926465,TRUE,TRUE,0.00111675606659756,0.0259288625465822,TRUE,FALSE
0205052AB,Olmesartan medoxomil/amlodipine,Renin-angiotensin system drugs,secondary_exploratory,all_eligible_drugs,1.031,1.022,1.053,May,Sep,unimodal (1 harmonic preferred),0.031,0.002,0.697,poisson,HAC-Wald,0.001086444735005,TRUE,TRUE,0.0166702504942612,0.000786640511587676,TRUE,FALSE
0202040B0,Co-amilofruse (Amiloride hydrochloride/frusemide),Potassium sparing diuretics and compounds,secondary_exploratory,all_eligible_drugs,1.03,1.019,1.05,Oct,Feb,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",-0.082,0.212,0.978,poisson,HAC-Wald,0.0077555124915033,TRUE,TRUE,0.0115413382112734,0.00573053942117944,TRUE,FALSE
0601011P0,Insulin glulisine,Insulin,secondary_exploratory,all_eligible_drugs,1.029,1.018,1.048,Dec,Aug,"bimodal (2 harmonics, 2 peaks)",-0.028,0.227,0.871,poisson,HAC-Wald,0.0010716054132084,TRUE,TRUE,0.0233801524823976,0.000776145892738713,TRUE,FALSE
1104010I0,Dexamethasone,Corticosteroids,secondary_exploratory,all_eligible_drugs,1.029,1.02,1.055,Aug,Jan,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.176,0.09,0.04,poisson,HAC-Wald,0.0327296092476448,TRUE,FALSE,0.940393434747381,,FALSE,FALSE
0202020D0,Bumetanide,Loop diuretics,secondary_exploratory,all_eligible_drugs,1.029,1.017,1.056,Jun,Feb,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",-0.07,0,0.167,poisson,HAC-Wald,0.0400529069795604,TRUE,TRUE,1.23408769764989e-38,0.0310882933024103,TRUE,FALSE
0407010H0,Paracetamol,Non-opioid analgesics and compound preparations,secondary_exploratory,all_eligible_drugs,1.029,1.025,1.039,Dec,Aug,"bimodal (2 harmonics, 2 peaks)",-0.078,0,0.343,poisson,HAC-Wald,2.7841565208353e-21,TRUE,TRUE,8.43977774190808e-06,1.91171187639271e-21,TRUE,FALSE
0208020H0,Acenocoumarol,Oral anticoagulants,secondary_exploratory,all_eligible_drugs,1.028,1.018,1.052,Dec,Apr,unimodal (1 harmonic preferred),0.149,0.04,0.872,poisson,HAC-Wald,0.00190963299394851,TRUE,TRUE,0.00531800462558879,0.00138798850888442,TRUE,FALSE
0407010P0,Nefopam hydrochloride,Non-opioid analgesics and compound preparations,secondary_exploratory,all_eligible_drugs,1.028,1.022,1.047,May,Dec,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.084,0.135,0.99,poisson,HAC-Wald,7.92683649232569e-06,TRUE,TRUE,8.43977774190808e-06,5.69402056772055e-06,TRUE,FALSE
0901020D0,Cyanocobalamin,Drugs used in megaloblastic anaemias,secondary_exploratory,all_eligible_drugs,1.028,1.02,1.041,Sep,Mar,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",0.017,0.184,0.974,poisson,HAC-Wald,6.87229823925818e-09,TRUE,FALSE,0.368742866068691,,FALSE,FALSE
0409030C0,Tetrabenazine,"Essential tremor,chorea,tics and related disorders",secondary_exploratory,all_eligible_drugs,1.028,1.016,1.063,Dec,Apr,unimodal (1 harmonic preferred),-0.002,0.213,0.229,poisson,HAC-Wald,0.00256042557797707,TRUE,FALSE,0.289865436190808,,FALSE,FALSE
0504010Y0,Quinine sulfate,Antimalarials,secondary_exploratory,all_eligible_drugs,1.027,1.021,1.044,Sep,Mar,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",-0.069,0.195,0.887,poisson,HAC-Wald,5.09221657660029e-15,TRUE,TRUE,8.77920094479552e-14,3.51830625427326e-15,TRUE,FALSE
