bnf_class_code,bnf_class_name,p_value,distribution,route,disp_ratio,disp_p,lb_p,nw_lag,hac_capped,theta,b_sin12,b_cos12,b_sin6,b_cos6,converged,note,class_q_bh,class_significant,inference_scope,multiplicity_family
020602,Calcium-channel blockers,5.8360382703724e-15,poisson,HAC-Wald,2372.39984033282,4.59202721869932e-09,1.12094790960526e-06,9.22195792132245,FALSE,,0.00801339916892737,0.000664380405465101,-0.00302651869021449,0.00183656146154563,TRUE,,3.20982104870482e-14,TRUE,primary_inferential,all_eligible_classes
130503,Drugs affecting the immune response,6.28967479156671e-15,poisson,HAC-Wald,55.9501244886958,1.12371010431279e-08,0.00335635824488889,3.95669415621855,FALSE,,0.0480841102204135,-0.00267563017974663,-0.00446401256727398,0.00834612792077196,TRUE,,3.37494744913336e-14,TRUE,primary_inferential,all_eligible_classes
050401,Antimalarials,1.67602927127914e-14,poisson,HAC-Wald,121.383500547767,3.23352174328377e-10,1.32594124215846e-05,12,TRUE,,-0.0124851387717003,-0.00101801143651227,-5.58340158441927e-05,0.00230690197802276,TRUE,,8.77920094479552e-14,TRUE,primary_inferential,all_eligible_classes
050205,Other antifungals,3.21646305646271e-14,negbin,NB-LRT,56.7306923572251,3.4555155395151e-08,0.0966336331955022,,,759.584157127096,-0.0565664842061766,-0.0740775661058154,0.00271826400046156,-0.0124605439042427,TRUE,,1.64563226144604e-13,TRUE,primary_inferential,all_eligible_classes
040101,Hypnotics,1.69854137489337e-13,poisson,HAC-Wald,472.918410769901,6.04067089015593e-10,0.00238220299267633,6.16070597689011,FALSE,,0.00533481655875218,0.0139743597320096,0.00161403807358192,-0.00399475725232586,TRUE,,8.49270687446684e-13,TRUE,primary_inferential,all_eligible_classes
021100,Antifibrinolytic drugs and haemostatics,2.22165544729278e-12,poisson,HAC-Wald,93.6335500222702,7.98493197150995e-08,7.18379570274763e-08,12,TRUE,,-0.00540741220264086,-0.0157007043546784,0.0034217287118259,-0.00904105110975057,TRUE,,1.08614266312091e-11,TRUE,primary_inferential,all_eligible_classes
100102,Corticosteroids,2.81520052323302e-12,poisson,HAC-Wald,222.031129387856,9.70006101283705e-10,2.04859929020529e-09,3.57870431833503,FALSE,,0.01584358368016,-0.0450286935827406,-0.0143742004872985,0.00626323933182711,TRUE,,1.34640025024188e-11,TRUE,primary_inferential,all_eligible_classes
131400,Topical circulatory preparations,9.68394017902633e-12,negbin,NB-LRT,10.378761352386,2.32080194363216e-06,0.170986696688017,,,828.40236820924,-0.0359454268147799,-0.0657703501675952,0.0258004221683892,-0.00151279533719246,TRUE,,4.53290816890594e-11,TRUE,primary_inferential,all_eligible_classes
031000,Systemic nasal decongestants,1.63992539429162e-11,negbin,NB-LRT,17.5935602676054,0.00658743793342545,0.0513626873949191,,,113.406900225612,0.0709067320052016,0.191276140492901,-0.0245669184924717,0.0283922020242065,TRUE,,7.51632472383658e-11,TRUE,primary_inferential,all_eligible_classes
110301,Antibacterials,2.09572188341215e-11,poisson,HAC-Wald,619.33542253509,3.33014311241166e-07,6.00019145480246e-10,1.34549860482517,FALSE,,0.207890921453825,0.0414014045916435,0.0525976696238056,0.00318317032961334,TRUE,,9.40936355817698e-11,TRUE,primary_inferential,all_eligible_classes
120303,Lozenges and sprays,3.60874021131669e-11,poisson,Poisson-LRT,1.72135272176537,0.0542872602591641,0.176330194851784,,,,0.0300385052597976,0.0707556477883098,-0.00574442475757413,-0.00102861269295143,TRUE,,1.58784569297935e-10,TRUE,primary_inferential,all_eligible_classes
