bnf_drug_code,peak_trough_ratio,ptr_lci,ptr_uci,peak_month,trough_month,amp_annual,amp_semiannual,n_peaks,seasonal_reproducibility,stl_seasonal_strength,stl_trend_strength,aic_1h,aic_2h,modality,bnf_class_code,bnf_drug_name,p_value,distribution,route,disp_ratio,disp_p,lb_p,nw_lag,hac_capped,theta,b_sin12,b_cos12,b_sin6,b_cos6,converged,note,drug_all_q_bh,drug_significant,inference_scope,multiplicity_family,bnf_class_name,class_q_bh,class_significant,parent_class_significant,conditional_drug_q_legacy,conditional_drug_significant_legacy
0205051W0,1.05469379323576,1.03449400506679,1.09410689337928,Jan,Apr,0.00741269804374043,0.022942261167069,2,-0.0301655002152539,0.0946229773619656,0.952221712601555,407.534160011893,407.450163571703,"bimodal (2 harmonics, 2 peaks)",020505,Imidapril hydrochloride,7.33884611123221e-09,poisson,HAC-Wald,0.675765355756689,0.999934580600174,0.00723034641235354,8.98594618188134,FALSE,,0.00116300277875561,0.00732089590311732,0.0153958248166662,0.0170092893935204,TRUE,,4.79733967271153e-08,TRUE,secondary_exploratory,all_eligible_drugs,Renin-angiotensin system drugs,0.0166702504942612,TRUE,TRUE,3.44925767227914e-08,TRUE
1311030A0,1.05352702698108,1.03288154883076,1.09045833808145,Apr,Jan,0.0199859624120321,0.0123613500259568,2,0.417981440106437,0.493288585779579,0.779457843069021,568.788218955156,566.173373931944,"bimodal (2 harmonics, 2 peaks)",131103,Alkyl sulphate,0.000455444447466486,poisson,HAC-Wald,2.5396214278662,0.00792738076354129,0.0240416335213516,5.08599176336631,FALSE,,0.00870278371157186,-0.0179916716623208,-0.0115812363195088,-0.00432179821092003,TRUE,,0.00186387769677461,TRUE,secondary_exploratory,all_eligible_drugs,Cationic surfactants and soaps,0.00112297682680614,TRUE,TRUE,0.00135602916937986,TRUE
0803042P0,1.05289273328958,1.0281411198951,1.1011942568562,Jan,May,0.0211094662117314,0.011029834906223,2,-0.119042661959336,0.338505646003859,0.678945294263329,570.415618517458,569.67992670401,"bimodal (2 harmonics, 2 peaks)",080304,Triptorelin acetate,0.000548294524314552,poisson,HAC-Wald,2.73018779802427,0.000878259468423734,0.00565934001010338,11.0504166221422,FALSE,,0.00955197183829942,0.0188247017969626,0.0109327164130261,-0.00146046906536345,TRUE,,0.00219401026720269,TRUE,secondary_exploratory,all_eligible_drugs,Hormone antagonists,0.00341395403142288,TRUE,TRUE,0.00159319729902544,TRUE
0604011G0,1.05252501756855,1.03579919304987,1.08892096495266,Jul,Feb,0.0255523607999587,0.00563441827786224,1,0.287447183367924,0.19427764139546,0.961934225926258,1056.92098550592,1060.14583826438,unimodal (1 harmonic preferred),060401,Estradiol,0.00623702370892091,negbin,NB-LRT,434.262459229909,1.29812544522215e-07,0.727756212761826,,,1052.77103125622,-0.0184211586201051,-0.017708304762009,-0.00532610129311091,0.00183829114816735,TRUE,,0.0183530546600875,TRUE,secondary_exploratory,all_eligible_drugs,Female sex hormones and their modulators,0.000113754559464022,TRUE,TRUE,0.013959053062823,TRUE
0304010W0,1.05225363306213,1.03887772689402,1.07734047648379,Feb,Jun,0.0237222559783897,0.00583770701420082,1,0.32258870157034,0.434291147147412,0.939122966081781,8304.5431495018,8143.69966387477,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",030401,Promethazine hydrochloride,1.20500837700585e-18,poisson,HAC-Wald,185.627395873074,3.90312648257812e-11,0.0116907014000385,8.07905998679978,FALSE,,0.0124789040993939,0.0201747956912177,0.00173877322380555,-0.00557274536111478,TRUE,,1.5242573496152e-17,TRUE,secondary_exploratory,all_eligible_drugs,Antihistamines,1.95040709693529e-226,TRUE,TRUE,1.05719401609313e-17,TRUE
0105020D0,1.05174006352003,1.03053810011732,1.09402573587491,Aug,Dec,0.00737487011839635,0.0219646291401158,2,-0.0298965080310866,0.0128560159862144,0.905462201575331,555.191675923149,548.74618834933,"bimodal (2 harmonics, 2 peaks)",010502,Prednisolone sodium metasulphobenzoate,0.0196943342189241,poisson,Poisson-LRT,2.8391341928886,0.0812167512164065,0.530593554682082,,,,-0.00464586990536007,-0.00572753019072663,0.0129290913141871,-0.0177562251352092,TRUE,,0.049212350534617,TRUE,secondary_exploratory,all_eligible_drugs,Corticosteroids,0.188917301871277,FALSE,FALSE,,FALSE
1003020AF,1.05131664685217,1.04617334215605,1.06355305722079,Sep,Jan,0.0218103378531976,0.0102619780873816,2,0.251537793696257,0.207672025790006,0.790400824674218,9847.52270929895,9338.64746619239,"bimodal (2 harmonics, 2 peaks)",100302,Diclofenac diethyl,2.04813049497411e-46,poisson,HAC-Wald,215.174430764473,3.65662349159578e-09,0.000493128781124397,12,TRUE,,-0.0105340007284477,-0.0190977921740626,-0.00431627354323362,-0.00931010080320731,TRUE,,6.43509387775736e-45,TRUE,secondary_exploratory,all_eligible_drugs,"Rubefacients, topical NSAIDs, capsaicin and poultices",1.55919199584476e-59,TRUE,TRUE,4.34732214739665e-45,TRUE
1003020P0,1.05112174383314,1.04320523547317,1.06693312546163,Sep,Jan,0.0229233335932824,0.00964326802993432,2,0.249529985384426,0.446830539301823,0.483122536121649,13940.1391339681,13255.9296488984,"bimodal (2 harmonics, 2 peaks)",100302,Ibuprofen,2.46057587523735e-18,poisson,HAC-Wald,312.654746835277,2.42156498544548e-08,0.00283412175182851,7.01035273035326,FALSE,,-0.0107686462269927,-0.020236488862122,-0.00674413166718833,-0.00689269949677054,TRUE,,3.03367202845718e-17,TRUE,secondary_exploratory,all_eligible_drugs,"Rubefacients, topical NSAIDs, capsaicin and poultices",1.55919199584476e-59,TRUE,TRUE,2.10267392974828e-17,TRUE
0106020P0,1.05103445642668,1.03258701218574,1.09021475299721,Feb,Oct,0.0247810730461549,0.00414470064399626,1,0.229415179208916,0.492117483894263,0.812321707815307,763.710339785612,767.327071483713,unimodal (1 harmonic preferred),010602,Sodium picosulfate,0.0198502035342948,negbin,NB-LRT,23.3728077237647,9.3008256581902e-10,0.124817178048305,,,1011.99506070675,0.0247489286935976,0.00126178834916462,0.00398860923606547,-0.00112673856342819,TRUE,,0.0494478215918239,TRUE,secondary_exploratory,all_eligible_drugs,Stimulant laxatives,0.0429708493171327,TRUE,TRUE,0.038757964170819,TRUE
0401010Y0,1.04993977715951,1.02578758940095,1.11336417204358,Feb,Sep,0.0244558900724884,0.00572155993925953,1,-0.00099532930238394,0,0.726125039437437,2731.18664878679,2697.71789256614,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",040101,Zolpidem tartrate,0.0194385470171745,poisson,HAC-Wald,51.8283384228439,5.36511337760142e-06,0.00494425690650069,2.25230938323219,FALSE,,0.0200192578477493,0.0140470592816776,0.00562634766262535,-0.00103945183525251,TRUE,,0.0487967649348659,TRUE,secondary_exploratory,all_eligible_drugs,Hypnotics,8.49270687446684e-13,TRUE,TRUE,0.0380671545753001,TRUE
0401010AC,1.04962557836351,1.03461421709776,1.10354293760009,Feb,Jun,0.0208805448905106,0.00991616350989881,1,0.0308720793299024,0,0.300235352707886,334.650379546594,338.410967079289,unimodal (1 harmonic preferred),040101,Sodium oxybate,0.0117407438966761,poisson,HAC-Wald,0.311977353235434,1,0.0050535871972307,1.36814809072493,FALSE,,0.00907676102586478,0.0188045091455207,-0.00238992934355458,-0.00962385247641844,TRUE,,0.0317663729038972,TRUE,secondary_exploratory,all_eligible_drugs,Hypnotics,8.49270687446684e-13,TRUE,TRUE,0.0244483742282743,TRUE
1104010K0,1.0495506686461,1.02904215376959,1.07265882375151,Jun,Feb,0.0162928978095969,0.0118282021615721,2,0.193380390587876,0.180274838446424,0.230689863351656,700.726265063626,685.293383751463,"bimodal (2 harmonics, 2 peaks)",110401,Fluorometholone,3.80524357085956e-07,poisson,HAC-Wald,4.10439181790018,1.53174090768042e-05,0.0179823251171034,1.75451801492722,FALSE,,-0.00667553529226435,-0.0148625619458995,-0.00442878272254122,0.0109677823634288,TRUE,,2.34576407469444e-06,TRUE,secondary_exploratory,all_eligible_drugs,Corticosteroids,0.940393434747381,FALSE,FALSE,,FALSE
1003020R0,1.04849529642094,1.04118868151958,1.06998168822734,Sep,Jan,0.0213828781013239,0.0090814727205531,2,0.193452123567467,0.0568819463586843,0.671230676761157,1789.20452489667,1741.21579091991,"bimodal (2 harmonics, 2 peaks)",100302,Piroxicam,4.13370520299385e-16,poisson,HAC-Wald,28.6255543719909,5.89734244718582e-07,0.0197891427420963,7.44346503961307,FALSE,,-0.0112052594325616,-0.0182117993878987,-0.00696184610664531,-0.0058314531260688,TRUE,,4.52385266035507e-15,TRUE,secondary_exploratory,all_eligible_drugs,"Rubefacients, topical NSAIDs, capsaicin and poultices",1.55919199584476e-59,TRUE,TRUE,3.12641152134477e-15,TRUE
0401010Z0,1.04791719916525,1.03924331893756,1.06610724650276,Jan,Jun,0.0221661572656511,0.00580098618953463,1,0.177063908152383,0.363741742841252,0.891018060365139,11053.7004818588,10767.2797515929,"unimodal, non-sinusoidal (2 harmonics, 1 peak)",040101,Zopiclone,1.90151671376419e-41,poisson,HAC-Wald,250.309575115198,4.12791589803724e-10,8.58071565256191e-05,12,TRUE,,0.00369493820124149,0.0218560279926291,0.00159941345086565,-0.00557613821424484,TRUE,,5.29164936916092e-40,TRUE,secondary_exploratory,all_eligible_drugs,Hypnotics,8.49270687446684e-13,TRUE,TRUE,3.57485142187668e-40,TRUE
090101100,1.04762973544843,1.03015884565127,1.08027639866865,Sep,Feb,0.0229185576359227,0.00317835253452523,1,0.0650474139676805,0.297868381790093,0.722040801836297,502.638439585649,506.325342633219,unimodal (1 harmonic preferred),090101,Other oral iron preparations,0.00352115157329051,poisson,Poisson-LRT,1.41885206330076,0.223322591142032,0.719829595068276,,,,-0.0218284112521546,-0.00698432146438861,-0.00309059932919234,0.000741701166318913,TRUE,,0.0112776936711631,TRUE,secondary_exploratory,all_eligible_drugs,Iron-deficiency anaemias,4.30049447409871e-15,TRUE,TRUE,0.00848687815100788,TRUE
0107010N0,1.04713012038469,1.02901236535506,1.07299864534204,Mar,Jun,0.00938604089164675,0.0174589190927582,2,0.342124611858035,0.515714139700679,0.599951595180862,546.214131667092,541.993307119951,"bimodal (2 harmonics, 2 peaks)",010701,Lidocaine hydrochloride,4.21318285506836e-06,poisson,HAC-Wald,2.50508346196037,0.00269158701972446,0.00167359377780707,12,TRUE,,0.00306037977237555,0.00887309637434979,-0.00371145638350701,-0.0170598636395723,TRUE,,2.30541578698684e-05,TRUE,secondary_exploratory,all_eligible_drugs,Soothing haemorrhoidal preparations,3.88567411103636e-20,TRUE,TRUE,1.66004450217663e-05,TRUE
0703010F0,1.04705027260575,1.03476665689855,1.06661782662699,Jul,Nov,0.0167903699291135,0.010802148092191,2,0.420476757192438,0.489004390638336,0.966614447348195,9010.94389068611,8523.72143962462,"bimodal (2 harmonics, 2 peaks)",070301,Combined ethinylestradiol 30mcg,4.05979693279548e-20,poisson,HAC-Wald,194.789465723198,6.02338487908851e-07,0.000215114434095387,5.00168266248733,FALSE,,0.000932378476242839,-0.01676446219637,0.00978034029733983,0.0045859946657029,TRUE,,5.64891744648971e-19,TRUE,secondary_exploratory,all_eligible_drugs,Combined hormonal contraceptives and systems,9.91433051466992e-09,TRUE,TRUE,3.92845056144033e-19,TRUE
1001010K0,1.04635702265591,1.03064177067428,1.07458452118108,Jul,Nov,0.0211448173558609,0.00619582021278821,1,0.118960956433285,0.34611397512982,0.929037516456971,650.889617251553,653.501636918925,unimodal (1 harmonic preferred),100101,Indometacin,0.00428707226083638,negbin,NB-LRT,5.59584943806613,3.25696498648971e-05,0.0593914537956987,,,1962.82525276813,-0.00401164761025717,-0.0207607799579841,0.00540163344145986,0.00303488785184847,TRUE,,0.0136013302347057,TRUE,secondary_exploratory,all_eligible_drugs,Non-steroidal anti-inflammatory drugs,5.27206392050756e-10,TRUE,TRUE,0.0102577947186558,TRUE
