bnf_class_code,bnf_drug_code,bnf_drug_name,p_value,distribution,route,disp_ratio,disp_p,lb_p,nw_lag,hac_capped,theta,b_sin12,b_cos12,b_sin6,b_cos6,converged,note,drug_all_q_bh,drug_significant,inference_scope,multiplicity_family,bnf_class_name,class_q_bh,class_significant,parent_class_significant,conditional_drug_q_legacy,conditional_drug_significant_legacy
040303,0403030Q0,Sertraline hydrochloride,8.86313004465153e-06,poisson,HAC-Wald,1272.44914008026,3.27083627117305e-09,4.67599925924045e-05,12,TRUE,,0.00296319616773631,0.00312983956311072,-0.00156767195481374,0.00101876228894425,TRUE,,4.54352034920557e-05,TRUE,secondary_exploratory,all_eligible_drugs,Selective serotonin re-uptake inhibitors,0.000373686698569591,TRUE,TRUE,3.29488111264447e-05,TRUE
080304,0803042S0,Triptorelin embonate,1.02087446262691e-05,poisson,HAC-Wald,1.67427504825086,0.0945220729884324,1.55020548212592e-05,12,TRUE,,0.00758960173512052,0.00560078351256449,-0.0175811114585574,0.0203134141257178,TRUE,,5.2059252701498e-05,TRUE,secondary_exploratory,all_eligible_drugs,Hormone antagonists,0.00341395403142288,TRUE,TRUE,3.77379436184555e-05,TRUE
120201,1202010Z0,Mometasone furoate/olopatadine hydrochloride,1.36074313298495e-05,negbin,NB-LRT,15.1595975240746,0.00011985320176346,0.144100822680776,,,58.2971522958572,0.0351186447403749,-0.159181803624473,-0.0375922431912343,0.0557116797834462,TRUE,,6.90293651837158e-05,TRUE,secondary_exploratory,all_eligible_drugs,Drugs used in nasal allergy,4.93335033400967e-52,TRUE,TRUE,5.00206134918491e-05,TRUE
040801,0408010H0,Lamotrigine,1.62692567093888e-05,poisson,HAC-Wald,195.636460130551,3.39439271678514e-08,6.12399621124915e-06,8.81250898571782,FALSE,,-0.00114898006233791,0.00364486621591052,-0.00164833829980988,0.00603979782557592,TRUE,,8.2104953548936e-05,TRUE,secondary_exploratory,all_eligible_drugs,Control of epilepsy,0.0462428934317855,TRUE,TRUE,5.94731717487656e-05,TRUE
080304,0803042W0,Triptorelin,1.7920767030636e-05,poisson,HAC-Wald,6.78797595078022,1.27687718044995e-06,3.72783013347089e-07,5.03240546376641,FALSE,,0.0127802656518045,-0.000892049326003097,0.00643915015788141,-0.000631099462874975,TRUE,,8.99733355043271e-05,TRUE,secondary_exploratory,all_eligible_drugs,Hormone antagonists,0.00341395403142288,TRUE,TRUE,6.51484237909309e-05,TRUE
120303,1203030B0,Benzocaine,2.11462101726218e-05,poisson,HAC-Wald,1.29605227377313,0.347642502603687,0.0356355350660527,1.52236822075133,FALSE,,0.0651962085833958,0.0975902458306558,0.0196612118604408,-0.0199018522222602,TRUE,,0.00010562260875966,TRUE,secondary_exploratory,all_eligible_drugs,Lozenges and sprays,1.58784569297935e-10,TRUE,TRUE,7.64516829317866e-05,TRUE
040304,0403040U0,Reboxetine,2.30178472148816e-05,poisson,HAC-Wald,1.80842808583025,0.0265584451128392,1.13237386911713e-07,10.3248825284448,FALSE,,0.00434254368845158,0.00243214025592023,-0.00680888308934778,0.00232736452589154,TRUE,,0.000114384608098442,TRUE,secondary_exploratory,all_eligible_drugs,Other antidepressant drugs,3.16743876105447e-08,TRUE,TRUE,8.27636255048748e-05,TRUE
010301,0103010H0,Famotidine,2.4170492956248e-05,poisson,HAC-Wald,158.035563481579,8.00348783561192e-07,5.19030509821272e-05,6.03714359741845,FALSE,,-0.00545105377272546,0.00905172581749894,-0.00147815302195719,0.00398372537817275,TRUE,,0.000119502843347135,TRUE,secondary_exploratory,all_eligible_drugs,H2-receptor antagonists,5.45997117848395e-06,TRUE,TRUE,8.6435784593539e-05,TRUE
040301,0403010R0,Lofepramine hydrochloride,2.95917294211115e-05,poisson,HAC-Wald,6.86880006543119,7.12606546546371e-07,0.000144752901997114,6.52354823175076,FALSE,,8.26551797703809e-05,0.00559308892912045,-0.00548636070974763,0.00128712140373795,TRUE,,0.000145567396243245,TRUE,secondary_exploratory,all_eligible_drugs,Tricyclic and related antidepressant drugs,5.81617035616975e-09,TRUE,TRUE,0.000105250583562656,TRUE
040901,0409010N0,Co-careldopa (Carbidopa/levodopa),3.21748605160241e-05,poisson,HAC-Wald,66.2889084170678,1.28389075684996e-08,7.82255223275019e-06,11.0868766181995,FALSE,,-0.00421085477531218,0.00460086030463635,-0.00298738954318963,0.00370494961554485,TRUE,,0.000157478965540741,TRUE,secondary_exploratory,all_eligible_drugs,Dopaminergic drugs used in parkinsonism,0.000377505620594641,TRUE,TRUE,0.000113822893653462,TRUE
040303,0403030Z0,Citalopram hydrochloride,3.4110337234129e-05,poisson,HAC-Wald,3.75146167853734,3.40921408529887e-05,1.40230947348607e-05,4.26146676751573,FALSE,,-0.00878688364408537,0.00766380121486019,5.90259845467553e-05,0.00286524382139994,TRUE,,0.000166117342330208,TRUE,secondary_exploratory,all_eligible_drugs,Selective serotonin re-uptake inhibitors,0.000373686698569591,TRUE,TRUE,0.000120024609091213,TRUE
